"","Gene","X.1","X","Freq","endCAT","oneoverendCAT","score"
"56","EPHA4",133,136,13,1588,0.00251889168765744,0.0163727959697733
"57","EPHA5",135,220,16,2546,0.00353495788608129,0.0188526457319377
"58","EPHA6",137,141,13,1880,0.00212765957446808,0.0138297872340425
"59","EPHA7",139,143,15,1612,0.00248138957816378,0.0186104218362282
"60","EPHA8",141,145,7,1616,0.00247524752475248,0.00866336633663367
"61","EPHB1",143,147,7,1588,0.00251889168765744,0.00881612090680101
"62","EPHB2",145,149,3,1593,0.00251098655132627,0.00376726795836144
"63","EPHB4",147,151,3,1580,0.00253164556962026,0.00379746835443038
"64","ERBB4",150,154,12,1780,0.00224719101123596,0.0134831460674157
"65","ERN1",152,156,2,1482,0.00269905533063428,0.00269905533063428
"66","ERN2",154,158,8,1476,0.002710027100271,0.010840108401084
"67","FER",156,160,14,1460,0.00273972602739726,0.0191780821917808
"68","FES",158,162,5,1460,0.00273972602739726,0.00684931506849315
"69","FGFR2",161,262,5,2021,0.00445324315148522,0.00742060220193033
"70","FLT1",166,171,12,2138,0.00187090739008419,0.0112254443405051
"71","FLT3",168,173,13,1716,0.00233100233100234,0.0151515151515152
"72","FLT4",170,175,9,2168,0.0018450184501845,0.00830258302583026
"73","FRK",172,177,7,806,0.00496277915632754,0.0173697270471464
"74","FYN",174,179,7,872,0.00458715596330276,0.0160550458715597
"75","GAK",176,181,3,460,0.00869565217391304,0.0130434782608696
"76","GRK1",178,183,4,724,0.00552486187845304,0.0110497237569061
"77","GRK4",180,185,3,712,0.00561797752808988,0.00842696629213483
"78","GRK5",182,187,5,710,0.0056338028169014,0.0140845070422535
"79","GRK7",184,189,2,720,0.00555555555555556,0.00555555555555556
"80","GSK3A",186,191,3,578,0.0069204152249135,0.0103806228373703
"81","HCK",189,194,6,854,0.00468384074941452,0.0140515222482436
"82","HIPK3",193,198,3,738,0.005420054200542,0.00813008130081301
"83","IKBKE",198,203,2,366,0.0109289617486339,0.0109289617486339
"84","INSRR",201,206,12,2324,0.00172117039586919,0.0103270223752151
"85","IRAK3",204,210,4,686,0.00583090379008746,0.0116618075801749
"86","IRAK4",206,212,4,716,0.00558659217877094,0.0111731843575419
"87","ITK",208,214,7,1056,0.00378787878787878,0.0132575757575758
"88","JAK1",210,216,10,2102,0.00190294957183635,0.00951474785918173
"89","JAK2",212,218,21,2048,0.001953125,0.0205078125
"90","KALRN",215,353,21,6853,0.00156905707460325,0.00840127204394334
"91","KDR",217,224,16,2150,0.00186046511627907,0.0148837209302325
"92","KIT",219,226,10,1678,0.00238379022646008,0.0119189511323004
"93","LATS1",221,228,21,1840,0.00217391304347826,0.0228260869565217
"94","LATS2",223,230,4,1766,0.00226500566251416,0.00453001132502831
"95","LIMK1",95,95,1,549,0.00182149362477231,0.00182149362477231
"96","LIMK2",227,234,5,990,0.00404040404040404,0.0101010101010101
"97","LRRK1",231,238,9,2868,0.00139470013947001,0.00627615062761506
"98","LRRK2",233,240,23,4084,0.000979431929480902,0.0112634671890304
"99","MAP2K4",239,246,11,557,0.00718413042356704,0.0397255326832791
"100","MAP2K5",100,100,1,326,0.00306748466257669,0.00306748466257669
"101","MAP3K1",243,250,33,2838,0.00140944326990839,0.0232558139534884
"102","MAP3K12",246,253,7,626,0.00638977635782748,0.0223642172523962
"103","MAP3K13",248,255,5,646,0.00619195046439628,0.0154798761609907
"104","MAP3K19",251,258,24,2474,0.00161681487469685,0.0194017784963621
"105","MAP3K2",253,260,7,1062,0.00376647834274952,0.0131826741996234
"106","MAP3K4",255,262,20,3024,0.00132275132275132,0.0132275132275132
"107","MAP3K5",257,264,6,1698,0.00235571260306242,0.00706713780918728
"108","MAP3K9",108,108,1,319,0.00313479623824451,0.00313479623824451
"109","MAP4K5",109,109,1,185,0.00540540540540541,0.00540540540540541
"110","MAPK13",110,110,1,192,0.00520833333333333,0.00520833333333333
"111","MAPK4",111,111,2,198,0.00505050505050505,0.0101010101010101
"112","MAPK8",268,275,3,390,0.0102564102564103,0.0153846153846154
"113","MARK1",113,113,1,226,0.00442477876106195,0.00442477876106195
"114","MAST1",275,282,3,1114,0.00359066427289048,0.00538599640933572
"115","MAST2",277,284,3,1390,0.00287769784172662,0.00431654676258993
"116","MAST3",116,116,1,550,0.00181818181818182,0.00181818181818182
"117","MAST4",280,287,4,1317,0.00310107089373004,0.00575711339040999
"118","MATK",118,118,1,395,0.00253164556962025,0.00253164556962025
"119","MERTK",283,290,6,1540,0.0025974025974026,0.0077922077922078
"120","MET",285,465,15,3795,0.00237164871970528,0.0118695461341247
"121","MST1R",290,298,5,2514,0.00159108989657916,0.00397772474144789
"122","MUSK",292,300,9,1544,0.00259067357512954,0.0116580310880829
"123","MYLK",294,302,11,3262,0.00122624156958921,0.00674432863274065
"124","MYLK3",297,305,7,1364,0.0029325513196481,0.0102639296187683
"125","MYLK4",299,307,3,546,0.00732600732600732,0.010989010989011
"126","NEK11",303,311,4,404,0.0099009900990099,0.0198019801980198
"127","NEK4",306,314,3,352,0.0113636363636364,0.0170454545454546
"128","NEK5",308,316,4,348,0.0114942528735632,0.0229885057471264
"129","NEK7",310,318,2,412,0.00970873786407766,0.00970873786407766
"130","NLK",314,322,4,620,0.0064516129032258,0.0129032258064516
"131","NTRK3",319,327,9,1530,0.00261437908496732,0.0117647058823529
"132","PAK2",324,332,3,826,0.00484261501210654,0.00726392251815981
"133","PAK3",326,334,5,936,0.00427350427350428,0.0106837606837607
"134","PAK6",134,134,1,571,0.00175131348511384,0.00175131348511384
"135","PAK7",330,338,11,1226,0.0032626427406199,0.0179445350734095
"136","PASK",332,340,9,2358,0.00169635284139101,0.00763358778625955
"137","PBK",334,342,2,443,0.00903491597324197,0.00903491597324197
"138","PDGFRA",336,344,12,1730,0.0023121387283237,0.0138728323699422
"139","PDGFRB",338,346,5,1746,0.002290950744559,0.00572737686139748
"140","PDIK1L",340,348,4,456,0.0087719298245614,0.0175438596491228
"141","PHKG1",342,350,2,452,0.0088495575221239,0.0088495575221239
"142","PHKG2",344,352,3,394,0.0101522842639594,0.0152284263959391
"143","PKN1",350,358,5,1582,0.00252844500632112,0.00632111251580278
"144","PKN2",352,360,4,1654,0.00241837968561064,0.00483675937122128
"145","PLK1",355,363,4,442,0.0090497737556561,0.0180995475113122
"146","PLK2",146,146,1,250,0.004,0.004
"147","PLK4",147,147,1,181,0.00552486187845304,0.00552486187845304
"148","PRKACG",148,148,1,209,0.00478468899521531,0.00478468899521531
"149","PRKCA",149,149,1,508,0.00196850393700787,0.00196850393700787
"150","PRKCB",364,372,2,1022,0.00391389432485322,0.00391389432485322
"151","PRKCH",369,377,8,1048,0.00381679389312978,0.0152671755725191
"152","PRKCZ",152,152,2,421,0.00237529691211401,0.00475059382422803
"153","PRKD1",374,612,5,2267,0.0039701029434605,0.00662614544014045
"154","PRKG2",378,387,11,1240,0.0032258064516129,0.017741935483871
"155","PRPF4B",381,390,6,1718,0.00232828870779976,0.0069848661233993
"156","PTK2B",385,395,3,1190,0.00336134453781512,0.00504201680672269
"157","PTK6",387,397,2,714,0.00560224089635854,0.00560224089635854
"158","RAF1",389,558,3,1565,0.00575265402413574,0.00575265402413574
"159","RIPK3",393,404,4,378,0.0105820105820106,0.0211640211640212
"160","ROCK1",160,161,1,244,0.00409836065573771,0.00409836065573771
"161","ROR1",397,408,5,1324,0.00302114803625378,0.00755287009063444
"162","ROR2",162,163,3,662,0.00151057401812689,0.00453172205438067
"163","ROS1",400,411,23,4262,0.000938526513374002,0.010793054903801
"164","SGK3",164,165,2,331,0.00302114803625378,0.00604229607250755
"165","SGK494",165,166,2,273,0.00366300366300366,0.00732600732600733
"166","SIK1",166,167,1,193,0.00518134715025907,0.00518134715025907
"167","SRC",167,168,1,435,0.00229885057471264,0.00229885057471264
"168","STK11",411,422,12,446,0.00896860986547086,0.0538116591928251
"169","STK17A",413,424,3,466,0.00858369098712446,0.0128755364806867
"170","STK24",416,427,5,402,0.0099502487562189,0.0248756218905473
"171","STK32A",420,432,5,380,0.0105263157894737,0.0263157894736842
"172","STK33",424,436,3,586,0.0068259385665529,0.0102389078498294
"173","STK36",173,174,2,170,0.00588235294117647,0.0117647058823529
"174","STK38",427,439,4,584,0.00684931506849316,0.0136986301369863
"175","STK39",175,176,1,242,0.00413223140495868,0.00413223140495868
"176","STK4",431,443,3,388,0.0103092783505155,0.0154639175257732
"177","SYK",433,445,3,1084,0.003690036900369,0.0055350553505535
"178","TAOK3",178,179,2,188,0.00531914893617021,0.0106382978723404
"179","TBK1",436,448,3,366,0.0109289617486339,0.0163934426229508
"180","TEC",438,450,5,1070,0.00373831775700934,0.00934579439252336
"181","TEK",440,452,15,2016,0.00198412698412698,0.0148809523809524
"182","TESK2",442,454,2,452,0.0088495575221239,0.0088495575221239
"183","TGFBR1",444,914,4,1536,0.0104169492444999,0.0104169492444999
"184","TGFBR2",446,460,9,906,0.0044150110375276,0.0198675496688742
"185","TIE1",448,462,4,2046,0.00195503421309873,0.00391006842619746
"186","TLK2",451,745,4,1919,0.00469119010819166,0.00623678516228748
"187","TNK1",187,189,1,293,0.00341296928327645,0.00341296928327645
"188","TRIO",455,471,17,5924,0.000675219446320054,0.00573936529372046
"189","TSSK1B",457,473,5,370,0.0108108108108108,0.027027027027027
"190","TSSK6",460,476,2,362,0.0110497237569061,0.0110497237569061
"191","TTK",464,480,6,1386,0.00288600288600288,0.00865800865800866
"192","TXK",466,482,5,872,0.00458715596330276,0.0114678899082569
"193","TYK2",468,484,3,2142,0.00186741363211951,0.00280112044817927
"194","ULK3",473,489,2,377,0.0106191200495747,0.0106191200495747
"195","VRK1",195,197,2,231,0.00432900432900433,0.00865800865800866
"196","WEE2",478,494,5,806,0.00496277915632754,0.0124069478908189
"197","ZAP70",481,497,2,1018,0.00392927308447938,0.00392927308447938
"198","ACVR1C",3,3,1,372,0.00268817204301075,0.00268817204301075
"199","ACVRL1",6,6,1,379,0.00263852242744063,0.00263852242744063
"200","ADRBK1",7,7,1,360,0.00277777777777778,0.00277777777777778
"201","ANKK1",13,13,2,194,0.00515463917525773,0.0103092783505155
"202","ARAF",14,14,2,476,0.00210084033613445,0.00420168067226891
"203","AURKC",16,16,1,209,0.00478468899521531,0.00478468899521531
"204","BMP2K",19,19,1,233,0.00429184549356223,0.00429184549356223
"205","BMPR1B",21,21,3,411,0.0024330900243309,0.0072992700729927
"206","BMX",23,23,4,582,0.00171821305841924,0.00687285223367698
"207","BRAF",24,24,7,623,0.00160513643659711,0.0112359550561798
"208","CAMK1D",27,28,1,191,0.00523560209424084,0.00523560209424084
"209","CAMK2A",28,29,1,183,0.00546448087431694,0.00546448087431694
"210","CAMK2D",29,30,1,184,0.00543478260869565,0.00543478260869565
"211","CAMKK1",30,31,1,358,0.00279329608938547,0.00279329608938547
"212","CDK1",32,33,1,173,0.00578034682080925,0.00578034682080925
"213","CDK11A",34,71,2,1187,0.00336986145809675,0.00336986145809675
"214","CDK16",37,39,1,405,0.00246913580246914,0.00246913580246914
"215","CDK17",38,40,1,358,0.00279329608938547,0.00279329608938547
"216","CDK19",40,42,2,203,0.00492610837438424,0.00985221674876847
"217","CDK20",42,44,1,173,0.00578034682080925,0.00578034682080925
"218","CDK6",44,46,1,189,0.00529100529100529,0.00529100529100529
"219","CDK8",45,47,1,203,0.00492610837438424,0.00492610837438424
"220","CDKL1",46,48,1,172,0.00581395348837209,0.00581395348837209
"221","CDKL3",47,49,3,170,0.00588235294117647,0.0176470588235294
"222","CSF1R",54,57,2,825,0.00121212121212121,0.00242424242424242
"223","CSNK1A1L",57,60,3,191,0.00523560209424084,0.0157068062827225
"224","CSNK1G1",58,61,1,221,0.00452488687782805,0.00452488687782805
"225","CSNK1G3",59,62,5,219,0.0045662100456621,0.0228310502283105
"226","CSNK2A1",60,63,4,201,0.00497512437810945,0.0199004975124378
"227","DAPK2",61,64,1,197,0.0050761421319797,0.0050761421319797
"228","DCLK2",63,66,2,578,0.00173010380622837,0.00346020761245675
"229","DCLK3",64,67,2,523,0.00191204588910134,0.00382409177820268
"230","DSTYK",66,69,1,819,0.00122100122100122,0.00122100122100122
"231","DYRK1A",67,70,1,331,0.00302114803625378,0.00302114803625378
"232","EPHA1",74,77,5,796,0.00125628140703518,0.00628140703517588
"233","ERBB2",85,89,1,892,0.00112107623318386,0.00112107623318386
"234","FGFR1",91,95,1,701,0.0014265335235378,0.0014265335235378
"235","FGFR3",93,98,1,685,0.00145985401459854,0.00145985401459854
"236","FGFR4",94,99,3,659,0.00151745068285281,0.00455235204855842
"237","FGR",95,100,3,428,0.00233644859813084,0.00700934579439252
"238","GSK3B",107,112,4,226,0.00442477876106195,0.0176991150442478
"239","HIPK1",109,114,2,362,0.00276243093922652,0.00552486187845304
"240","HIPK2",110,115,2,371,0.00269541778975741,0.00539083557951483
"241","HUNK",112,117,2,233,0.00429184549356223,0.00858369098712446
"242","IGF1R",113,118,4,1182,0.000846023688663283,0.00338409475465313
"243","IKBKB",114,119,3,192,0.00520833333333333,0.015625
"244","INSR",116,121,5,1206,0.000829187396351575,0.00414593698175788
"245","IRAK1",118,247,2,814,0.00491902344694223,0.00491902344694223
"246","JAK3",124,130,2,997,0.00100300902708124,0.00200601805416249
"247","LCK",130,137,2,440,0.00227272727272727,0.00454545454545455
"248","LMTK2",132,139,2,312,0.00320512820512821,0.00641025641025641
"249","LMTK3",133,140,2,342,0.00292397660818713,0.00584795321637427
"250","LTK",136,143,4,693,0.00144300144300144,0.00577200577200577
"251","LYN",137,144,2,413,0.00242130750605327,0.00484261501210654
"252","MAK",138,145,1,169,0.00591715976331361,0.00591715976331361
"253","MAP2K3",139,146,2,234,0.00427350427350427,0.00854700854700855
"254","MAP2K6",141,148,2,223,0.00448430493273543,0.00896860986547085
"255","MAP3K11",143,150,1,292,0.00342465753424658,0.00342465753424658
"256","MAP3K15",146,153,5,819,0.00122100122100122,0.00610500610500611
"257","MAP3K6",151,158,2,817,0.00122399020807834,0.00244798041615667
"258","MAP3K8",152,159,1,297,0.00336700336700337,0.00336700336700337
"259","MAP4K1",153,160,1,182,0.00549450549450549,0.00549450549450549
"260","MAP4K4",154,161,2,198,0.00505050505050505,0.0101010101010101
"261","MAPK10",155,162,1,233,0.00429184549356223,0.00429184549356223
"262","MAPKAPK2",157,164,2,233,0.00429184549356223,0.00858369098712446
"263","MAPKAPK3",158,165,1,212,0.00471698113207547,0.00471698113207547
"264","MARK2",159,166,2,219,0.0045662100456621,0.0091324200913242
"265","MARK3",160,167,1,245,0.00408163265306122,0.00408163265306122
"266","MKNK2",166,174,2,260,0.00384615384615385,0.00769230769230769
"267","MOK",167,175,1,171,0.00584795321637427,0.00584795321637427
"268","MOS",168,176,1,249,0.00401606425702811,0.00401606425702811
"269","MYLK2",172,180,2,452,0.00221238938053097,0.00442477876106195
"270","MYO3B",175,183,1,201,0.00497512437810945,0.00497512437810945
"271","NEK10",176,184,9,699,0.00143061516452074,0.0128755364806867
"272","NEK3",178,186,1,172,0.00581395348837209,0.00581395348837209
"273","NEK9",182,190,2,221,0.00452488687782805,0.00904977375565611
"274","NIM1K",183,191,5,240,0.00416666666666667,0.0208333333333333
"275","NRK",185,193,2,222,0.0045045045045045,0.00900900900900901
"276","NTRK1",186,194,2,697,0.00143472022955524,0.00286944045911047
"277","NTRK2",187,195,3,739,0.0013531799729364,0.0040595399188092
"278","NUAK1",189,197,3,222,0.0045045045045045,0.0135135135135135
"279","NUAK2",190,198,1,219,0.0045662100456621,0.0045662100456621
"280","PAK1",191,199,4,434,0.00230414746543779,0.00921658986175115
"281","PAK4",194,202,1,485,0.00206185567010309,0.00206185567010309
"282","PIM1",203,211,1,211,0.004739336492891,0.004739336492891
"283","PIM2",204,212,1,207,0.00483091787439614,0.00483091787439614
"284","pk",205,213,2,176,0.00568181818181818,0.0113636363636364
"285","PKMYT1",206,214,2,277,0.0036101083032491,0.0072202166064982
"286","PKN3",209,217,4,729,0.00137174211248285,0.00548696844993141
"287","PRKAA1",211,219,1,209,0.00478468899521531,0.00478468899521531
"288","PRKACA",212,220,1,209,0.00478468899521531,0.00478468899521531
"289","PRKACB",213,221,2,256,0.00390625,0.0078125
"290","PRKCD",215,223,2,518,0.00193050193050193,0.00386100386100386
"291","PRKCE",216,224,6,577,0.00173310225303293,0.0103986135181976
"292","PRKCG",217,225,2,525,0.0019047619047619,0.00380952380952381
"293","PRKCI",219,227,1,423,0.00236406619385343,0.00236406619385343
"294","PRKCQ",220,228,2,549,0.00182149362477231,0.00364298724954463
"295","PRKD3",222,231,3,746,0.00134048257372654,0.00402144772117962
"296","PRKG1",223,232,2,543,0.00184162062615101,0.00368324125230203
"297","PRKX",225,234,1,214,0.00467289719626168,0.00467289719626168
"298","PSKH1",227,236,1,267,0.00374531835205993,0.00374531835205993
"299","PTK2",228,475,4,1195,0.00334756398189234,0.00672594236027072
"300","RET",232,242,6,958,0.00104384133611691,0.00626304801670146
"301","RIPK2",233,243,1,186,0.00537634408602151,0.00537634408602151
"302","ROCK2",235,245,2,260,0.00384615384615385,0.00769230769230769
"303","SBK1",238,248,1,218,0.00458715596330275,0.00458715596330275
"304","SGK1",239,249,1,362,0.00276243093922652,0.00276243093922652
"305","SIK2",240,250,3,186,0.00537634408602151,0.0161290322580645
"306","SNRK",241,251,2,184,0.00543478260869565,0.0108695652173913
"307","STK10",242,252,1,202,0.00495049504950495,0.00495049504950495
"308","STK17B",245,255,2,205,0.0048780487804878,0.00975609756097561
"309","STK26",247,515,3,400,0.0100303417838963,0.0153213470749016
"310","STK3",248,259,2,219,0.0045662100456621,0.0091324200913242
"311","STK32B",250,261,2,190,0.00526315789473684,0.0105263157894737
"312","STK32C",251,262,1,260,0.00384615384615385,0.00384615384615385
"313","STK38L",254,265,1,293,0.00341296928327645,0.00341296928327645
"314","TLK1",264,553,4,1301,0.00307535930408472,0.00620035930408472
"315","TNK2",266,280,3,363,0.00275482093663912,0.00826446280991736
"316","TSSK3",269,283,1,179,0.00558659217877095,0.00558659217877095
"317","TTBK1",271,285,2,209,0.00478468899521531,0.00956937799043062
"318","TTBK2",272,286,1,196,0.00510204081632653,0.00510204081632653
"319","TYRO3",276,290,2,702,0.00142450142450142,0.00284900284900285
"320","UHMK1",277,291,1,201,0.00497512437810945,0.00497512437810945
"321","ULK2",278,292,1,184,0.00543478260869565,0.00543478260869565
"322","VRK2",280,294,2,220,0.00454545454545455,0.00909090909090909
"323","WEE1",281,295,1,486,0.00205761316872428,0.00205761316872428
"324","YES1",283,297,3,442,0.00226244343891403,0.00678733031674208
