"","Gene","X","Freq","endCAT","oneoverendCAT","score"
"171","STK32A",172,4,190,0.00526315789473684,0.0210526315789474
"172","STK33",173,1,293,0.00341296928327645,0.00341296928327645
"173","STK36",174,2,170,0.00588235294117647,0.0117647058823529
"174","STK38",175,1,292,0.00342465753424658,0.00342465753424658
"175","STK39",176,1,242,0.00413223140495868,0.00413223140495868
"176","STK4",177,1,194,0.00515463917525773,0.00515463917525773
"177","SYK",178,1,542,0.0018450184501845,0.0018450184501845
"178","TAOK3",179,2,188,0.00531914893617021,0.0106382978723404
"179","TBK1",180,2,183,0.00546448087431694,0.0109289617486339
"180","TEC",181,1,535,0.00186915887850467,0.00186915887850467
"181","TEK",182,4,1008,0.000992063492063492,0.00396825396825397
"182","TESK2",183,1,226,0.00442477876106195,0.00442477876106195
"183","TGFBR1",369,2,768,0.00520847462224995,0.00520847462224995
"184","TGFBR2",186,1,453,0.0022075055187638,0.0022075055187638
"185","TIE1",187,2,1023,0.000977517106549365,0.00195503421309873
"186","TLK2",188,2,647,0.00154559505409583,0.00309119010819165
"187","TNK1",189,1,293,0.00341296928327645,0.00341296928327645
"188","TRIO",190,3,2962,0.000337609723160027,0.00101282916948008
"189","TSSK1B",191,2,185,0.00540540540540541,0.0108108108108108
"190","TSSK6",192,1,181,0.00552486187845304,0.00552486187845304
"191","TTK",193,1,693,0.00144300144300144,0.00144300144300144
"192","TXK",194,2,436,0.00229357798165138,0.00458715596330275
"193","TYK2",195,1,1071,0.000933706816059757,0.000933706816059757
"194","ULK3",196,1,194,0.00515463917525773,0.00515463917525773
"195","VRK1",197,2,231,0.00432900432900433,0.00865800865800866
"196","WEE2",198,1,403,0.00248138957816377,0.00248138957816377
"197","ZAP70",199,1,509,0.00196463654223969,0.00196463654223969
